date,site_ok,bsky_followers,bsky_posts,gh_stars,gh_watchers,gh_forks,repo_size_kb,posts_total,problems
2026-08-16,True,0,3,0,0,0,2301,3,
2026-08-17,True,0,4,0,0,0,2980,4,
2026-08-18,True,0,7,0,0,0,4329,7,
2026-08-19,True,0,10,0,0,0,5870,10,
2026-08-20,True,0,13,0,0,0,7323,13,
2026-08-21,True,0,16,0,0,0,7227,16,
2026-08-22,True,0,19,0,0,0,8495,19,
2026-08-23,True,0,22,0,0,0,10371,22,
2026-08-24,True,0,25,0,0,0,12834,25,
2026-08-25,True,0,28,0,0,0,14788,28,
2026-08-26,True,0,31,0,0,0,17016,31,
2026-08-27,True,0,33,0,0,0,18026,33,
2026-08-28,True,0,34,0,0,0,13689,34,
2026-08-29,True,0,35,0,0,0,14669,35,
